coil_id,production_date,shift_code,thickness_mm,width_mm,mass_out_tons,Hours,Grade,NextProcess,total_cycle_time_min,start_datetime,end_datetime
7428025,2024-04-15,D,3.8,1454,10.02,00:13:09,RC1 18,13,16.9780354,2024-04-15 19:15:37.916480,2024-04-15 19:32:36.598604
7428025,2024-04-15,D,3.8,1454,16.04,00:06:23,RC1 18,13,16.9780354,2024-04-15 19:15:37.916480,2024-04-15 19:32:36.598604
7264057,2024-04-15,C,2.5,1512,25.88,00:36:29,AC2 31,13,16.485728033333334,2024-04-15 13:05:13.390769,2024-04-15 13:21:42.534451
7420067,2024-04-15,C,3.9,1418,26.18,00:25:53,AC2 31,13,16.256108683333334,2024-04-15 16:40:17.302933,2024-04-15 16:56:32.669454
7427042,2024-04-15,D,2.8,1509,25.6,00:51:03,AC2 31,13,16.432350633333336,2024-04-15 18:32:25.924556,2024-04-15 18:48:51.865594
7115106,2024-04-17,A,2.0,977,14.48,00:28:16,AC1 31,4,11.643525116666666,2024-04-17 08:17:37.413456,2024-04-17 08:29:16.024963
7228061,2024-04-17,A,2.0,975,13.8,00:01:23,AC1 31,4,11.53172165,2024-04-17 09:11:41.363841,2024-04-17 09:23:13.267140
7251038,2024-04-17,A,1.5,1235,20.78,00:50:43,AC2 31,13,10.622339033333333,2024-04-17 10:32:46.725159,2024-04-17 10:43:24.065501
7115106,2024-04-17,A,2.0,977,0.62,00:30:10,AC1 31,4,11.643525116666666,2024-04-17 08:17:37.413456,2024-04-17 08:29:16.024963
7228061,2024-04-17,A,2.0,975,0.82,00:04:13,AC1 31,4,11.53172165,2024-04-17 09:11:41.363841,2024-04-17 09:23:13.267140
7251038,2024-04-17,A,1.5,1235,2.0,00:40:46,AC2 31,13,10.622339033333333,2024-04-17 10:32:46.725159,2024-04-17 10:43:24.065501
7438055,2024-04-18,C,1.86,1235,0.0,00:18:11,RC3 1,4,10.893033216666668,2024-04-19 05:54:31.421197,2024-04-19 06:05:25.003190
7438055,2024-04-18,C,1.86,1235,20.84,00:25:10,RC3 1,4,10.893033216666668,2024-04-19 05:54:31.421197,2024-04-19 06:05:25.003190
7438052,2024-04-18,C,1.86,1235,20.98,00:49:22,RC3 1,4,10.766375083333333,2024-04-19 04:57:18.803338,2024-04-19 05:08:04.785843
7438058,2024-04-18,B,1.86,1235,23.6,00:35:57,RC3 1,2,10.226191716666667,2024-04-19 06:05:25.003190,2024-04-19 06:15:38.574693
7438055,2024-04-18,C,1.86,1235,2.72,00:18:36,RC3 1,4,10.893033216666668,2024-04-19 05:54:31.421197,2024-04-19 06:05:25.003190
7438052,2024-04-18,C,1.86,1235,1.18,00:38:34,RC3 1,4,10.766375083333333,2024-04-19 04:57:18.803338,2024-04-19 05:08:04.785843
7438052,2024-04-18,C,1.86,1235,0.56,00:49:37,RC3 1,4,10.766375083333333,2024-04-19 04:57:18.803338,2024-04-19 05:08:04.785843
9810177,2024-04-19,C,1.75,1169,17.48,00:10:17,AC2 31,13,11.30875415,2024-04-20 07:01:42.444641,2024-04-20 07:13:00.969890
7437050,2024-04-19,C,1.5,1227,21.7,00:30:43,AC2 31,13,10.984133966666667,2024-04-19 16:08:13.358439,2024-04-19 16:19:12.406477
9810617,2024-04-19,C,1.4,1229,20.5,00:46:39,AC2 31,13,10.188426516666668,2024-04-20 10:09:56.402053,2024-04-20 10:20:07.707644
9810177,2024-04-19,C,1.75,1169,2.72,00:10:48,AC2 31,13,11.30875415,2024-04-20 07:01:42.444641,2024-04-20 07:13:00.969890
7437050,2024-04-19,C,1.5,1227,1.2,00:19:49,AC2 31,13,10.984133966666667,2024-04-19 16:08:13.358439,2024-04-19 16:19:12.406477
9810617,2024-04-19,C,1.4,1229,0.56,00:45:10,AC2 31,13,10.188426516666668,2024-04-20 10:09:56.402053,2024-04-20 10:20:07.707644
7433067,2024-04-20,A,2.6,1461,26.52,00:19:49,AC5 37,13,17.933611483333333,2024-04-20 21:16:38.807691,2024-04-20 21:34:34.824380
7438033,2024-04-20,A,2.6,1461,26.48,00:05:26,AC5 37,13,18.803332366666666,2024-04-21 00:08:50.012055,2024-04-21 00:27:38.211997
7438015,2024-04-20,A,2.6,1461,21.66,00:33:05,AC5 37,13,17.2748518,2024-04-20 22:09:03.663352,2024-04-20 22:26:20.154460
7433065,2024-04-20,A,2.6,1459,26.54,00:56:54,AC5 37,13,17.6930486,2024-04-20 20:41:52.053160,2024-04-20 20:59:33.636076
7438018,2024-04-20,A,2.6,1461,26.46,00:44:44,AC5 37,13,17.914769916666668,2024-04-20 22:56:22.997793,2024-04-20 23:14:17.883988
7438015,2024-04-20,A,2.6,1461,4.8,00:25:15,AC5 37,13,17.2748518,2024-04-20 22:09:03.663352,2024-04-20 22:26:20.154460
7430033,2024-04-21,A,1.5,1232,21.32,00:53:25,AC2 31,13,12.111753716666668,2024-04-21 15:51:46.178671,2024-04-21 16:03:52.883894
7431054,2024-04-21,A,1.5,1234,20.84,00:38:07,AC2 31,13,11.747212933333333,2024-04-21 16:15:34.866780,2024-04-21 16:27:19.699556
7417047,2024-04-21,A,1.9,1229,22.06,00:16:09,AC2 31,13,10.96481135,2024-04-21 13:14:47.673077,2024-04-21 13:25:45.561758
7430033,2024-04-21,A,1.5,1232,2.02,00:44:04,AC2 31,13,12.111753716666668,2024-04-21 15:51:46.178671,2024-04-21 16:03:52.883894
7431054,2024-04-21,A,1.5,1234,2.12,00:27:31,AC2 31,13,11.747212933333333,2024-04-21 16:15:34.866780,2024-04-21 16:27:19.699556
7417047,2024-04-21,A,1.9,1229,0.76,00:04:14,AC2 31,13,10.96481135,2024-04-21 13:14:47.673077,2024-04-21 13:25:45.561758
7421051,2024-04-22,B,1.48,1232,22.16,00:41:20,AC2 31,13,11.557300433333333,2024-04-22 14:47:22.856223,2024-04-22 14:58:56.294249
7445068,2024-04-22,B,1.5,1233,22.44,00:23:11,AC2 31,13,10.796109849999999,2024-04-23 10:47:49.945320,2024-04-23 10:58:37.711911
7447038,2024-04-22,B,1.6,1233,22.64,00:06:53,AC2 32,13,11.474437483333332,2024-04-23 10:58:37.711911,2024-04-23 11:10:06.178160
7443036,2024-04-22,C,1.5,1232,1.36,00:53:05,AC2 31,13,11.9650282,2024-04-22 23:16:18.721324,2024-04-22 23:28:16.623016
7421051,2024-04-22,B,1.48,1232,0.4,00:28:53,AC2 31,13,11.557300433333333,2024-04-22 14:47:22.856223,2024-04-22 14:58:56.294249
7445068,2024-04-22,B,1.5,1233,0.44,00:12:40,AC2 31,13,10.796109849999999,2024-04-23 10:47:49.945320,2024-04-23 10:58:37.711911
7233129,2024-04-23,C,2.0,789,16.22,00:04:00,AC2 32,4,11.011817316666667,2024-04-23 08:50:28.197268,2024-04-23 09:01:28.906307
7447032,2024-04-23,D,1.8,1273,20.72,00:56:55,AC2 31,13,11.24361695,2024-04-23 20:34:17.623804,2024-04-23 20:45:32.240821
7421054,2024-04-23,C,1.5,1226,21.02,00:32:26,AC5 34,13,9.98318035,2024-04-23 14:49:31.101846,2024-04-23 14:59:30.092667
7233129,2024-04-23,C,2.0,789,0.62,00:12:36,AC2 32,4,11.011817316666667,2024-04-23 08:50:28.197268,2024-04-23 09:01:28.906307
7447032,2024-04-23,D,1.8,1273,1.0,00:47:47,AC2 31,13,11.24361695,2024-04-23 20:34:17.623804,2024-04-23 20:45:32.240821
7421054,2024-04-23,C,1.5,1226,1.9,00:18:24,AC5 34,13,9.98318035,2024-04-23 14:49:31.101846,2024-04-23 14:59:30.092667
7438027,2024-04-24,D,2.5,1508,24.24,00:20:46,AC1 33,13,14.654470183333332,2024-04-24 15:21:30.763497,2024-04-24 15:36:10.031708
7433072,2024-04-24,D,2.6,1460,26.36,00:47:02,AC5 37,13,16.521416116666668,2024-04-24 12:18:52.219720,2024-04-24 12:35:23.504687
7438023,2024-04-24,D,2.5,1523,23.02,00:00:22,AC1 33,13,16.6198319,2024-04-24 14:15:38.430376,2024-04-24 14:32:15.620290
7438026,2024-04-24,D,2.5,1516,24.04,00:36:51,AC1 33,13,16.867270933333334,2024-04-24 14:48:36.647750,2024-04-24 15:05:28.684006
7438027,2024-04-24,D,2.5,1508,1.08,00:12:22,AC1 33,13,14.654470183333332,2024-04-24 15:21:30.763497,2024-04-24 15:36:10.031708
7438023,2024-04-24,D,2.5,1523,0.54,00:03:44,AC1 33,13,16.6198319,2024-04-24 14:15:38.430376,2024-04-24 14:32:15.620290
7438026,2024-04-24,D,2.5,1516,1.22,00:24:42,AC1 33,13,16.867270933333334,2024-04-24 14:48:36.647750,2024-04-24 15:05:28.684006
7443011,2024-04-25,B,2.96,1254,21.5,00:44:25,AC2 31,4,16.85405845,2024-04-25 22:17:16.559215,2024-04-25 22:34:07.802722
7254016,2024-04-25,A,4.0,1258,7.74,00:51:57,AC2 31,4,18.823623116666667,2024-04-25 10:02:56.693681,2024-04-25 10:21:46.111068
7254016,2024-04-25,A,4.0,1258,13.92,00:59:02,AC2 31,4,18.823623116666667,2024-04-25 10:02:56.693681,2024-04-25 10:21:46.111068
7440056,2024-04-25,B,4.5,1237,18.12,00:15:25,RC6 33,13,15.818413833333333,2024-04-25 21:27:53.774390,2024-04-25 21:43:42.879220
7443020,2024-04-25,B,2.9,1236,22.76,00:30:49,AC2 31,13,15.338355366666667,2024-04-25 23:04:04.668492,2024-04-25 23:19:24.969814
7443018,2024-04-25,B,2.9,1237,23.38,00:07:32,AC2 31,13,14.66684415,2024-04-25 22:49:24.657843,2024-04-25 23:04:04.668492
7443011,2024-04-25,B,2.96,1254,1.36,00:37:27,AC2 31,4,16.85405845,2024-04-25 22:17:16.559215,2024-04-25 22:34:07.802722
7440056,2024-04-25,B,4.5,1237,2.4,00:18:27,RC6 33,13,15.818413833333333,2024-04-25 21:27:53.774390,2024-04-25 21:43:42.879220
7447057,2024-04-26,B,2.0,1036,11.66,00:17:55,AC1 31,4,11.80119025,2024-04-26 13:05:09.358275,2024-04-26 13:16:57.429690
7434004,2024-04-26,B,3.0,960,15.56,00:58:01,AC2 32,4,16.385270316666666,2024-04-26 09:04:31.379411,2024-04-26 09:20:54.495630
7432079,2024-04-26,B,2.0,951,11.94,00:40:55,AC1 39,4,11.044849016666666,2024-04-26 08:35:32.628880,2024-04-26 08:46:35.319821
7450061,2024-04-26,B,1.5,1230,20.88,00:02:53,AC2 31,13,10.738781616666667,2024-04-26 16:32:46.187907,2024-04-26 16:43:30.514804
7447057,2024-04-26,B,2.0,1036,1.22,00:09:27,AC1 31,4,11.80119025,2024-04-26 13:05:09.358275,2024-04-26 13:16:57.429690
7447057,2024-04-26,B,2.0,1036,1.76,00:23:51,AC1 31,4,11.80119025,2024-04-26 13:05:09.358275,2024-04-26 13:16:57.429690
7434004,2024-04-26,B,3.0,960,1.34,00:50:25,AC2 32,4,16.385270316666666,2024-04-26 09:04:31.379411,2024-04-26 09:20:54.495630
7432079,2024-04-26,B,2.0,951,0.82,00:43:11,AC1 39,4,11.044849016666666,2024-04-26 08:35:32.628880,2024-04-26 08:46:35.319821
7432079,2024-04-26,B,2.0,951,0.92,00:32:03,AC1 39,4,11.044849016666666,2024-04-26 08:35:32.628880,2024-04-26 08:46:35.319821
7432057,2024-04-27,C,1.9,1180,10.26,00:32:50,AC2 31,13,10.514278999999998,2024-04-27 09:03:49.988813,2024-04-27 09:14:20.845553
7432057,2024-04-27,C,1.9,1180,11.34,00:27:33,AC2 31,13,10.514278999999998,2024-04-27 09:03:49.988813,2024-04-27 09:14:20.845553
7445065,2024-04-27,C,1.5,1226,21.64,00:51:43,AC2 31,13,10.788369083333333,2024-04-27 17:03:03.084544,2024-04-27 17:13:50.386689
7451040,2024-04-27,D,1.6,1228,21.32,00:01:25,AC2 31,13,12.11577675,2024-04-28 02:10:40.452472,2024-04-28 02:22:47.399077
7450071,2024-04-27,D,1.8,1172,21.38,00:16:52,AC2 31,13,12.203841766666667,2024-04-28 01:12:03.737495,2024-04-28 01:24:15.968001
7445065,2024-04-27,C,1.5,1226,1.88,00:43:06,AC2 31,13,10.788369083333333,2024-04-27 17:03:03.084544,2024-04-27 17:13:50.386689
7445063,2024-04-27,C,1.5,1229,1.88,00:59:48,AC2 31,13,11.53345805,2024-04-27 16:19:17.003661,2024-04-27 16:30:49.011144
7450071,2024-04-27,D,1.8,1172,1.64,00:09:31,AC2 31,13,12.203841766666667,2024-04-28 01:12:03.737495,2024-04-28 01:24:15.968001
7451052,2024-04-28,D,1.5,1229,18.72,00:58:54,AC5 34,13,11.31911175,2024-04-29 11:16:32.903960,2024-04-29 11:27:52.050665
0360514,2024-04-28,D,1.5,1228,22.92,00:07:36,AC2 32,13,13.006735583333333,2024-04-28 08:05:49.419303,2024-04-28 08:18:49.823438
7445069,2024-04-28,A,1.5,1225,22.9,00:25:31,AC2 31,13,11.057520616666666,2024-04-28 21:05:52.724658,2024-04-28 21:16:56.175895
0360505,2024-04-28,D,2.3,1199,19.66,00:40:55,RC3 1,13,16.617943583333332,2024-04-28 06:44:39.050364,2024-04-28 07:01:16.126979
7451052,2024-04-28,D,1.5,1229,2.24,00:48:57,AC5 34,13,11.31911175,2024-04-29 11:16:32.903960,2024-04-29 11:27:52.050665
0360505,2024-04-28,D,2.3,1199,0.82,00:33:06,RC3 1,13,16.617943583333332,2024-04-28 06:44:39.050364,2024-04-28 07:01:16.126979
7448028,2024-04-29,A,3.5,1530,19.92,00:26:16,AC2 31,4,17.3544424,2024-04-30 06:08:50.296781,2024-04-30 06:26:11.563325
7448028,2024-04-29,A,3.5,1530,5.68,00:20:04,AC2 31,4,17.3544424,2024-04-30 06:08:50.296781,2024-04-30 06:26:11.563325
7450032,2024-04-29,A,1.86,1260,22.5,00:56:34,AC2 31,13,12.2901546,2024-04-30 07:02:30.774941,2024-04-30 07:14:48.184217
7448024,2024-04-29,B,2.6,1461,26.54,00:10:13,AC5 37,13,16.983292716666668,2024-04-30 05:35:34.143248,2024-04-30 05:52:33.140811
7439022,2024-04-29,B,2.2,1304,22.84,00:37:02,AC1 37,13,16.219281116666668,2024-04-30 00:40:51.820826,2024-04-30 00:57:04.977693
7450032,2024-04-29,A,1.86,1260,0.54,00:44:41,AC2 31,13,12.2901546,2024-04-30 07:02:30.774941,2024-04-30 07:14:48.184217
7439070,2024-04-30,C,1.5,1230,20.32,00:03:14,AC5 34,13,11.160058933333334,2024-04-30 19:57:38.992798,2024-04-30 20:08:48.596334
7449162,2024-04-30,C,2.5,981,16.38,00:31:43,RC2 33,13,16.61539296666667,2024-05-01 02:01:27.030672,2024-05-01 02:18:03.954250
7243075,2024-04-30,B,1.8,1173,10.78,00:56:07,AC2 31,13,10.678937083333333,2024-04-30 08:19:43.988241,2024-04-30 08:30:24.724466
7449162,2024-04-30,C,2.5,981,0.94,00:23:34,RC2 33,13,16.61539296666667,2024-05-01 02:01:27.030672,2024-05-01 02:18:03.954250
7243075,2024-04-30,B,1.8,1173,0.68,00:49:19,AC2 31,13,10.678937083333333,2024-04-30 08:19:43.988241,2024-04-30 08:30:24.724466
7443022,2024-05-01,A,2.9,1235,22.74,00:02:46,AC2 31,13,14.787476016666666,2024-05-03 13:49:44.010315,2024-05-03 14:04:31.258876
7411025,2024-05-01,C,1.86,1249,23.02,00:32:30,AC2 31,4,12.28706025,2024-05-01 12:00:10.251982,2024-05-01 12:12:27.475597
7443019,2024-05-01,D,2.9,1234,21.84,00:22:32,AC2 31,13,16.627377366666668,2024-05-01 19:39:34.378221,2024-05-01 19:56:12.020863
7418040,2024-05-01,C,1.85,1225,1.34,00:54:06,AC2 31,13,11.4679095,2024-05-01 13:28:10.722651,2024-05-01 13:39:38.797221
7443019,2024-05-01,D,2.9,1234,0.96,00:21:51,AC2 31,13,16.627377366666668,2024-05-01 19:39:34.378221,2024-05-01 19:56:12.020863
7454005,2024-05-11,A,4.4,1217,22.72,00:12:13,AC2 31,13,18.18544075,2024-05-11 08:44:37.099155,2024-05-11 09:02:48.225600
7501073,2024-05-11,A,5.8,1216,20.04,00:35:04,AC5 31,13,17.883683066666666,2024-05-11 17:33:16.728435,2024-05-11 17:51:09.749419
7503018,2024-05-13,C,2.8,1241,11.32,00:24:29,AC2 31,13,15.759634049999999,2024-05-13 09:08:09.239795,2024-05-13 09:23:54.817838
7503018,2024-05-13,C,2.8,1241,11.64,00:39:41,AC2 31,13,15.759634049999999,2024-05-13 09:08:09.239795,2024-05-13 09:23:54.817838
7510042,2024-05-16,B,1.9,1228,22.94,00:40:00,AC2 31,13,11.593365083333333,2024-05-16 16:31:22.297936,2024-05-16 16:42:57.899841
7510056,2024-05-16,B,1.8,1229,22.22,00:28:15,AC2 31,13,9.826766816666666,2024-05-16 17:40:18.198848,2024-05-16 17:50:07.804857
7511049,2024-05-16,C,1.9,1228,23.04,00:02:41,AC2 31,13,11.530769883333333,2024-05-17 00:40:23.563046,2024-05-17 00:51:55.409239
7510040,2024-05-16,B,1.9,1232,22.88,00:10:02,AC2 31,13,11.16930305,2024-05-16 16:07:39.721067,2024-05-16 16:18:49.879250
HL70410,2024-05-16,C,1.5,1219,10.78,00:52:40,AC2 31,13,12.220374866666667,2024-05-17 05:30:02.255553,2024-05-17 05:42:15.478045
HL70410,2024-05-16,C,1.5,1219,10.84,00:55:18,AC2 31,13,12.220374866666667,2024-05-17 05:30:02.255553,2024-05-17 05:42:15.478045
7511077,2024-05-17,C,1.6,1232,5.74,00:49:32,AC2 31,13,11.115767283333334,2024-05-17 08:44:44.518793,2024-05-17 08:55:51.464830
7511079,2024-05-17,C,1.6,1228,5.78,00:02:34,AC2 31,13,10.73014365,2024-05-17 09:18:09.789658,2024-05-17 09:28:53.598277
7511079,2024-05-17,C,1.6,1228,5.76,00:07:35,AC2 31,13,10.73014365,2024-05-17 09:18:09.789658,2024-05-17 09:28:53.598277
7511079,2024-05-17,C,1.6,1228,5.56,00:12:46,AC2 31,13,10.73014365,2024-05-17 09:18:09.789658,2024-05-17 09:28:53.598277
7511081,2024-05-17,C,1.6,1235,11.34,00:23:37,AC2 31,13,12.550025683333333,2024-05-17 09:40:04.832252,2024-05-17 09:52:37.833793
7511081,2024-05-17,C,1.6,1235,11.26,00:30:17,AC2 31,13,12.550025683333333,2024-05-17 09:40:04.832252,2024-05-17 09:52:37.833793
